,month,stats,race_or_age,state_or_region,value,year,value_flt,time
203000,May,avg,≥6 months,Kansas,48.0,2014-2015,48.0,2015-05-15
203945,Aug,avg,≥6 months,Kentucky,1.9,2014-2015,1.9,2014-08-15
203950,Sep,avg,≥6 months,Kentucky,8.8,2014-2015,8.8,2014-09-15
203955,Oct,avg,≥6 months,Kentucky,31.1,2014-2015,31.1,2014-10-15
203960,Nov,avg,≥6 months,Kentucky,42.1,2014-2015,42.1,2014-11-15
203965,Dec,avg,≥6 months,Kentucky,45.1,2014-2015,45.1,2014-12-15
203970,Jan,avg,≥6 months,Kentucky,46.7,2014-2015,46.7,2015-01-15
203975,Feb,avg,≥6 months,Kentucky,47.6,2014-2015,47.6,2015-02-15
203980,Mar,avg,≥6 months,Kentucky,48.0,2014-2015,48.0,2015-03-15
203985,Apr,avg,≥6 months,Kentucky,48.3,2014-2015,48.3,2015-04-15
203990,May,avg,≥6 months,Kentucky,48.3,2014-2015,48.3,2015-05-15
204930,Jul,avg,≥6 months,Louisiana,0.6,2014-2015,0.6,2014-07-15
204935,Aug,avg,≥6 months,Louisiana,2.7,2014-2015,2.7,2014-08-15
204940,Sep,avg,≥6 months,Louisiana,10.0,2014-2015,10.0,2014-09-15
204945,Oct,avg,≥6 months,Louisiana,26.0,2014-2015,26.0,2014-10-15
204950,Nov,avg,≥6 months,Louisiana,35.0,2014-2015,35.0,2014-11-15
204955,Dec,avg,≥6 months,Louisiana,38.6,2014-2015,38.6,2014-12-15
204960,Jan,avg,≥6 months,Louisiana,42.4,2014-2015,42.4,2015-01-15
204965,Feb,avg,≥6 months,Louisiana,43.6,2014-2015,43.6,2015-02-15
204970,Mar,avg,≥6 months,Louisiana,44.1,2014-2015,44.1,2015-03-15
204975,Apr,avg,≥6 months,Louisiana,44.4,2014-2015,44.4,2015-04-15
204980,May,avg,≥6 months,Louisiana,44.7,2014-2015,44.7,2015-05-15
205920,Jul,avg,≥6 months,Maine,0.2,2014-2015,0.2,2014-07-15
205925,Aug,avg,≥6 months,Maine,0.9,2014-2015,0.9,2014-08-15
205930,Sep,avg,≥6 months,Maine,7.0,2014-2015,7.0,2014-09-15
205935,Oct,avg,≥6 months,Maine,28.7,2014-2015,28.7,2014-10-15
205940,Nov,avg,≥6 months,Maine,41.6,2014-2015,41.6,2014-11-15
205945,Dec,avg,≥6 months,Maine,45.1,2014-2015,45.1,2014-12-15
205950,Jan,avg,≥6 months,Maine,47.2,2014-2015,47.2,2015-01-15
205955,Feb,avg,≥6 months,Maine,48.3,2014-2015,48.3,2015-02-15
205960,Mar,avg,≥6 months,Maine,48.7,2014-2015,48.7,2015-03-15
205965,Apr,avg,≥6 months,Maine,48.8,2014-2015,48.8,2015-04-15
205970,May,avg,≥6 months,Maine,49.5,2014-2015,49.5,2015-05-15
206910,Jul,avg,≥6 months,Maryland,0.3,2014-2015,0.3,2014-07-15
206915,Aug,avg,≥6 months,Maryland,1.6,2014-2015,1.6,2014-08-15
206920,Sep,avg,≥6 months,Maryland,9.6,2014-2015,9.6,2014-09-15
206925,Oct,avg,≥6 months,Maryland,31.3,2014-2015,31.3,2014-10-15
206930,Nov,avg,≥6 months,Maryland,42.5,2014-2015,42.5,2014-11-15
206935,Dec,avg,≥6 months,Maryland,47.0,2014-2015,47.0,2014-12-15
206940,Jan,avg,≥6 months,Maryland,49.6,2014-2015,49.6,2015-01-15
206945,Feb,avg,≥6 months,Maryland,50.7,2014-2015,50.7,2015-02-15
206950,Mar,avg,≥6 months,Maryland,51.6,2014-2015,51.6,2015-03-15
206955,Apr,avg,≥6 months,Maryland,52.1,2014-2015,52.1,2015-04-15
206960,May,avg,≥6 months,Maryland,52.1,2014-2015,52.1,2015-05-15
207900,Jul,avg,≥6 months,Massachusetts,0.6,2014-2015,0.6,2014-07-15
207905,Aug,avg,≥6 months,Massachusetts,2.4,2014-2015,2.4,2014-08-15
207910,Sep,avg,≥6 months,Massachusetts,10.2,2014-2015,10.2,2014-09-15
207915,Oct,avg,≥6 months,Massachusetts,31.0,2014-2015,31.0,2014-10-15
207920,Nov,avg,≥6 months,Massachusetts,43.5,2014-2015,43.5,2014-11-15
207925,Dec,avg,≥6 months,Massachusetts,49.0,2014-2015,49.0,2014-12-15
207930,Jan,avg,≥6 months,Massachusetts,51.4,2014-2015,51.4,2015-01-15
207935,Feb,avg,≥6 months,Massachusetts,53.6,2014-2015,53.6,2015-02-15
207940,Mar,avg,≥6 months,Massachusetts,54.3,2014-2015,54.3,2015-03-15
207945,Apr,avg,≥6 months,Massachusetts,54.7,2014-2015,54.7,2015-04-15
207950,May,avg,≥6 months,Massachusetts,54.9,2014-2015,54.9,2015-05-15
208895,Aug,avg,≥6 months,Michigan,1.2,2014-2015,1.2,2014-08-15
208900,Sep,avg,≥6 months,Michigan,8.5,2014-2015,8.5,2014-09-15
208905,Oct,avg,≥6 months,Michigan,26.1,2014-2015,26.1,2014-10-15
208910,Nov,avg,≥6 months,Michigan,36.4,2014-2015,36.4,2014-11-15
208915,Dec,avg,≥6 months,Michigan,40.3,2014-2015,40.3,2014-12-15
208920,Jan,avg,≥6 months,Michigan,42.2,2014-2015,42.2,2015-01-15
208925,Feb,avg,≥6 months,Michigan,43.1,2014-2015,43.1,2015-02-15
208930,Mar,avg,≥6 months,Michigan,43.6,2014-2015,43.6,2015-03-15
208935,Apr,avg,≥6 months,Michigan,43.8,2014-2015,43.8,2015-04-15
208940,May,avg,≥6 months,Michigan,44.3,2014-2015,44.3,2015-05-15
209880,Jul,avg,≥6 months,Minnesota,0.2,2014-2015,0.2,2014-07-15
209885,Aug,avg,≥6 months,Minnesota,1.9,2014-2015,1.9,2014-08-15
209890,Sep,avg,≥6 months,Minnesota,10.2,2014-2015,10.2,2014-09-15
209895,Oct,avg,≥6 months,Minnesota,32.7,2014-2015,32.7,2014-10-15
209900,Nov,avg,≥6 months,Minnesota,44.2,2014-2015,44.2,2014-11-15
209905,Dec,avg,≥6 months,Minnesota,47.7,2014-2015,47.7,2014-12-15
209910,Jan,avg,≥6 months,Minnesota,50.1,2014-2015,50.1,2015-01-15
209915,Feb,avg,≥6 months,Minnesota,50.8,2014-2015,50.8,2015-02-15
209920,Mar,avg,≥6 months,Minnesota,51.2,2014-2015,51.2,2015-03-15
209925,Apr,avg,≥6 months,Minnesota,51.5,2014-2015,51.5,2015-04-15
209930,May,avg,≥6 months,Minnesota,51.9,2014-2015,51.9,2015-05-15
210870,Jul,avg,≥6 months,Mississippi,0.4,2014-2015,0.4,2014-07-15
210875,Aug,avg,≥6 months,Mississippi,2.2,2014-2015,2.2,2014-08-15
210880,Sep,avg,≥6 months,Mississippi,7.2,2014-2015,7.2,2014-09-15
210885,Oct,avg,≥6 months,Mississippi,26.7,2014-2015,26.7,2014-10-15
210890,Nov,avg,≥6 months,Mississippi,36.5,2014-2015,36.5,2014-11-15
210895,Dec,avg,≥6 months,Mississippi,39.0,2014-2015,39.0,2014-12-15
210900,Jan,avg,≥6 months,Mississippi,41.8,2014-2015,41.8,2015-01-15
210905,Feb,avg,≥6 months,Mississippi,43.9,2014-2015,43.9,2015-02-15
210910,Mar,avg,≥6 months,Mississippi,44.3,2014-2015,44.3,2015-03-15
210915,Apr,avg,≥6 months,Mississippi,44.7,2014-2015,44.7,2015-04-15
210920,May,avg,≥6 months,Mississippi,44.9,2014-2015,44.9,2015-05-15
211860,Jul,avg,≥6 months,Missouri,0.4,2014-2015,0.4,2014-07-15
211865,Aug,avg,≥6 months,Missouri,1.6,2014-2015,1.6,2014-08-15
211870,Sep,avg,≥6 months,Missouri,8.5,2014-2015,8.5,2014-09-15
211875,Oct,avg,≥6 months,Missouri,30.4,2014-2015,30.4,2014-10-15
211880,Nov,avg,≥6 months,Missouri,41.2,2014-2015,41.2,2014-11-15
211885,Dec,avg,≥6 months,Missouri,44.7,2014-2015,44.7,2014-12-15
211890,Jan,avg,≥6 months,Missouri,47.1,2014-2015,47.1,2015-01-15
211895,Feb,avg,≥6 months,Missouri,48.4,2014-2015,48.4,2015-02-15
211900,Mar,avg,≥6 months,Missouri,48.9,2014-2015,48.9,2015-03-15
211905,Apr,avg,≥6 months,Missouri,49.0,2014-2015,49.0,2015-04-15
211910,May,avg,≥6 months,Missouri,49.1,2014-2015,49.1,2015-05-15
212855,Aug,avg,≥6 months,Montana,1.6,2014-2015,1.6,2014-08-15
212860,Sep,avg,≥6 months,Montana,7.1,2014-2015,7.1,2014-09-15
212865,Oct,avg,≥6 months,Montana,25.7,2014-2015,25.7,2014-10-15
212870,Nov,avg,≥6 months,Montana,36.9,2014-2015,36.9,2014-11-15
212875,Dec,avg,≥6 months,Montana,40.0,2014-2015,40.0,2014-12-15
212880,Jan,avg,≥6 months,Montana,41.5,2014-2015,41.5,2015-01-15
212885,Feb,avg,≥6 months,Montana,43.0,2014-2015,43.0,2015-02-15
212890,Mar,avg,≥6 months,Montana,43.6,2014-2015,43.6,2015-03-15
212895,Apr,avg,≥6 months,Montana,44.2,2014-2015,44.2,2015-04-15
212900,May,avg,≥6 months,Montana,44.4,2014-2015,44.4,2015-05-15
213840,Jul,avg,≥6 months,Nebraska,0.6,2014-2015,0.6,2014-07-15
213845,Aug,avg,≥6 months,Nebraska,1.8,2014-2015,1.8,2014-08-15
213850,Sep,avg,≥6 months,Nebraska,8.2,2014-2015,8.2,2014-09-15
213855,Oct,avg,≥6 months,Nebraska,33.2,2014-2015,33.2,2014-10-15
213860,Nov,avg,≥6 months,Nebraska,46.1,2014-2015,46.1,2014-11-15
213865,Dec,avg,≥6 months,Nebraska,49.0,2014-2015,49.0,2014-12-15
213870,Jan,avg,≥6 months,Nebraska,51.1,2014-2015,51.1,2015-01-15
213875,Feb,avg,≥6 months,Nebraska,52.5,2014-2015,52.5,2015-02-15
213880,Mar,avg,≥6 months,Nebraska,53.2,2014-2015,53.2,2015-03-15
213885,Apr,avg,≥6 months,Nebraska,53.5,2014-2015,53.5,2015-04-15
213890,May,avg,≥6 months,Nebraska,54.0,2014-2015,54.0,2015-05-15
214835,Aug,avg,≥6 months,Nevada,2.3,2014-2015,2.3,2014-08-15
214840,Sep,avg,≥6 months,Nevada,8.5,2014-2015,8.5,2014-09-15
214845,Oct,avg,≥6 months,Nevada,22.5,2014-2015,22.5,2014-10-15
214850,Nov,avg,≥6 months,Nevada,30.3,2014-2015,30.3,2014-11-15
214855,Dec,avg,≥6 months,Nevada,33.2,2014-2015,33.2,2014-12-15
214860,Jan,avg,≥6 months,Nevada,35.8,2014-2015,35.8,2015-01-15
214865,Feb,avg,≥6 months,Nevada,37.8,2014-2015,37.8,2015-02-15
214870,Mar,avg,≥6 months,Nevada,39.1,2014-2015,39.1,2015-03-15
214875,Apr,avg,≥6 months,Nevada,39.7,2014-2015,39.7,2015-04-15
214880,May,avg,≥6 months,Nevada,39.7,2014-2015,39.7,2015-05-15
215825,Aug,avg,≥6 months,New Hampshire,1.3,2014-2015,1.3,2014-08-15
215830,Sep,avg,≥6 months,New Hampshire,9.6,2014-2015,9.6,2014-09-15
215835,Oct,avg,≥6 months,New Hampshire,30.4,2014-2015,30.4,2014-10-15
215840,Nov,avg,≥6 months,New Hampshire,43.1,2014-2015,43.1,2014-11-15
215845,Dec,avg,≥6 months,New Hampshire,47.4,2014-2015,47.4,2014-12-15
215850,Jan,avg,≥6 months,New Hampshire,50.1,2014-2015,50.1,2015-01-15
215855,Feb,avg,≥6 months,New Hampshire,51.0,2014-2015,51.0,2015-02-15
215860,Mar,avg,≥6 months,New Hampshire,51.6,2014-2015,51.6,2015-03-15
215865,Apr,avg,≥6 months,New Hampshire,52.1,2014-2015,52.1,2015-04-15
215870,May,avg,≥6 months,New Hampshire,52.1,2014-2015,52.1,2015-05-15
216810,Jul,avg,≥6 months,New Jersey,0.3,2014-2015,0.3,2014-07-15
216815,Aug,avg,≥6 months,New Jersey,1.7,2014-2015,1.7,2014-08-15
216820,Sep,avg,≥6 months,New Jersey,9.8,2014-2015,9.8,2014-09-15
216825,Oct,avg,≥6 months,New Jersey,29.0,2014-2015,29.0,2014-10-15
216830,Nov,avg,≥6 months,New Jersey,37.9,2014-2015,37.9,2014-11-15
216835,Dec,avg,≥6 months,New Jersey,42.6,2014-2015,42.6,2014-12-15
216840,Jan,avg,≥6 months,New Jersey,44.8,2014-2015,44.8,2015-01-15
216845,Feb,avg,≥6 months,New Jersey,45.9,2014-2015,45.9,2015-02-15
216850,Mar,avg,≥6 months,New Jersey,46.2,2014-2015,46.2,2015-03-15
216855,Apr,avg,≥6 months,New Jersey,46.7,2014-2015,46.7,2015-04-15
216860,May,avg,≥6 months,New Jersey,46.8,2014-2015,46.8,2015-05-15
217800,Jul,avg,≥6 months,New Mexico,0.5,2014-2015,0.5,2014-07-15
217805,Aug,avg,≥6 months,New Mexico,2.6,2014-2015,2.6,2014-08-15
217810,Sep,avg,≥6 months,New Mexico,9.8,2014-2015,9.8,2014-09-15
217815,Oct,avg,≥6 months,New Mexico,27.8,2014-2015,27.8,2014-10-15
217820,Nov,avg,≥6 months,New Mexico,39.8,2014-2015,39.8,2014-11-15
217825,Dec,avg,≥6 months,New Mexico,43.1,2014-2015,43.1,2014-12-15
217830,Jan,avg,≥6 months,New Mexico,46.2,2014-2015,46.2,2015-01-15
217835,Feb,avg,≥6 months,New Mexico,48.2,2014-2015,48.2,2015-02-15
217840,Mar,avg,≥6 months,New Mexico,49.0,2014-2015,49.0,2015-03-15
217845,Apr,avg,≥6 months,New Mexico,49.4,2014-2015,49.4,2015-04-15
217850,May,avg,≥6 months,New Mexico,49.6,2014-2015,49.6,2015-05-15
218790,Jul,avg,≥6 months,New York,0.7,2014-2015,0.7,2014-07-15
218795,Aug,avg,≥6 months,New York,2.2,2014-2015,2.2,2014-08-15
218800,Sep,avg,≥6 months,New York,10.5,2014-2015,10.5,2014-09-15
218805,Oct,avg,≥6 months,New York,28.5,2014-2015,28.5,2014-10-15
218810,Nov,avg,≥6 months,New York,38.5,2014-2015,38.5,2014-11-15
218815,Dec,avg,≥6 months,New York,43.1,2014-2015,43.1,2014-12-15
218820,Jan,avg,≥6 months,New York,45.6,2014-2015,45.6,2015-01-15
218825,Feb,avg,≥6 months,New York,46.9,2014-2015,46.9,2015-02-15
218830,Mar,avg,≥6 months,New York,47.6,2014-2015,47.6,2015-03-15
218835,Apr,avg,≥6 months,New York,48.5,2014-2015,48.5,2015-04-15
218840,May,avg,≥6 months,New York,48.6,2014-2015,48.6,2015-05-15
219780,Jul,avg,≥6 months,North Carolina,0.5,2014-2015,0.5,2014-07-15
219785,Aug,avg,≥6 months,North Carolina,2.6,2014-2015,2.6,2014-08-15
219790,Sep,avg,≥6 months,North Carolina,10.6,2014-2015,10.6,2014-09-15
219795,Oct,avg,≥6 months,North Carolina,32.0,2014-2015,32.0,2014-10-15
219800,Nov,avg,≥6 months,North Carolina,42.6,2014-2015,42.6,2014-11-15
219805,Dec,avg,≥6 months,North Carolina,46.1,2014-2015,46.1,2014-12-15
219810,Jan,avg,≥6 months,North Carolina,49.2,2014-2015,49.2,2015-01-15
219815,Feb,avg,≥6 months,North Carolina,51.2,2014-2015,51.2,2015-02-15
219820,Mar,avg,≥6 months,North Carolina,52.0,2014-2015,52.0,2015-03-15
219825,Apr,avg,≥6 months,North Carolina,52.4,2014-2015,52.4,2015-04-15
219830,May,avg,≥6 months,North Carolina,52.4,2014-2015,52.4,2015-05-15
220775,Aug,avg,≥6 months,North Dakota,1.2,2014-2015,1.2,2014-08-15
220780,Sep,avg,≥6 months,North Dakota,6.8,2014-2015,6.8,2014-09-15
220785,Oct,avg,≥6 months,North Dakota,32.6,2014-2015,32.6,2014-10-15
220790,Nov,avg,≥6 months,North Dakota,44.1,2014-2015,44.1,2014-11-15
220795,Dec,avg,≥6 months,North Dakota,47.5,2014-2015,47.5,2014-12-15
220800,Jan,avg,≥6 months,North Dakota,49.1,2014-2015,49.1,2015-01-15
220805,Feb,avg,≥6 months,North Dakota,49.9,2014-2015,49.9,2015-02-15
220810,Mar,avg,≥6 months,North Dakota,50.7,2014-2015,50.7,2015-03-15
220815,Apr,avg,≥6 months,North Dakota,50.8,2014-2015,50.8,2015-04-15
220820,May,avg,≥6 months,North Dakota,51.0,2014-2015,51.0,2015-05-15
221765,Aug,avg,≥6 months,Ohio,2.2,2014-2015,2.2,2014-08-15
221770,Sep,avg,≥6 months,Ohio,9.2,2014-2015,9.2,2014-09-15
221775,Oct,avg,≥6 months,Ohio,28.5,2014-2015,28.5,2014-10-15
221780,Nov,avg,≥6 months,Ohio,38.7,2014-2015,38.7,2014-11-15
221785,Dec,avg,≥6 months,Ohio,41.9,2014-2015,41.9,2014-12-15
221790,Jan,avg,≥6 months,Ohio,43.8,2014-2015,43.8,2015-01-15
221795,Feb,avg,≥6 months,Ohio,44.9,2014-2015,44.9,2015-02-15
221800,Mar,avg,≥6 months,Ohio,45.6,2014-2015,45.6,2015-03-15
221805,Apr,avg,≥6 months,Ohio,46.0,2014-2015,46.0,2015-04-15
221810,May,avg,≥6 months,Ohio,46.1,2014-2015,46.1,2015-05-15
222755,Aug,avg,≥6 months,Oklahoma,1.5,2014-2015,1.5,2014-08-15
222760,Sep,avg,≥6 months,Oklahoma,8.0,2014-2015,8.0,2014-09-15
222765,Oct,avg,≥6 months,Oklahoma,31.0,2014-2015,31.0,2014-10-15
222770,Nov,avg,≥6 months,Oklahoma,41.4,2014-2015,41.4,2014-11-15
222775,Dec,avg,≥6 months,Oklahoma,44.8,2014-2015,44.8,2014-12-15
222780,Jan,avg,≥6 months,Oklahoma,47.4,2014-2015,47.4,2015-01-15
222785,Feb,avg,≥6 months,Oklahoma,48.5,2014-2015,48.5,2015-02-15
222790,Mar,avg,≥6 months,Oklahoma,49.0,2014-2015,49.0,2015-03-15
222795,Apr,avg,≥6 months,Oklahoma,49.1,2014-2015,49.1,2015-04-15
222800,May,avg,≥6 months,Oklahoma,49.1,2014-2015,49.1,2015-05-15
223745,Aug,avg,≥6 months,Oregon,1.7,2014-2015,1.7,2014-08-15
223750,Sep,avg,≥6 months,Oregon,8.7,2014-2015,8.7,2014-09-15
223755,Oct,avg,≥6 months,Oregon,26.2,2014-2015,26.2,2014-10-15
223760,Nov,avg,≥6 months,Oregon,35.5,2014-2015,35.5,2014-11-15
223765,Dec,avg,≥6 months,Oregon,39.0,2014-2015,39.0,2014-12-15
223770,Jan,avg,≥6 months,Oregon,41.5,2014-2015,41.5,2015-01-15
223775,Feb,avg,≥6 months,Oregon,43.3,2014-2015,43.3,2015-02-15
223780,Mar,avg,≥6 months,Oregon,43.9,2014-2015,43.9,2015-03-15
223785,Apr,avg,≥6 months,Oregon,44.1,2014-2015,44.1,2015-04-15
223790,May,avg,≥6 months,Oregon,44.3,2014-2015,44.3,2015-05-15
224730,Jul,avg,≥6 months,Pennsylvania,0.4,2014-2015,0.4,2014-07-15
224735,Aug,avg,≥6 months,Pennsylvania,1.6,2014-2015,1.6,2014-08-15
224740,Sep,avg,≥6 months,Pennsylvania,10.1,2014-2015,10.1,2014-09-15
224745,Oct,avg,≥6 months,Pennsylvania,31.0,2014-2015,31.0,2014-10-15
224750,Nov,avg,≥6 months,Pennsylvania,41.0,2014-2015,41.0,2014-11-15
224755,Dec,avg,≥6 months,Pennsylvania,44.7,2014-2015,44.7,2014-12-15
224760,Jan,avg,≥6 months,Pennsylvania,46.5,2014-2015,46.5,2015-01-15
224765,Feb,avg,≥6 months,Pennsylvania,47.9,2014-2015,47.9,2015-02-15
224770,Mar,avg,≥6 months,Pennsylvania,49.0,2014-2015,49.0,2015-03-15
224775,Apr,avg,≥6 months,Pennsylvania,49.9,2014-2015,49.9,2015-04-15
224780,May,avg,≥6 months,Pennsylvania,50.3,2014-2015,50.3,2015-05-15
225720,Jul,avg,≥6 months,Rhode Island,0.6,2014-2015,0.6,2014-07-15
225725,Aug,avg,≥6 months,Rhode Island,1.7,2014-2015,1.7,2014-08-15
225730,Sep,avg,≥6 months,Rhode Island,10.7,2014-2015,10.7,2014-09-15
225735,Oct,avg,≥6 months,Rhode Island,35.1,2014-2015,35.1,2014-10-15
225740,Nov,avg,≥6 months,Rhode Island,49.0,2014-2015,49.0,2014-11-15
225745,Dec,avg,≥6 months,Rhode Island,53.7,2014-2015,53.7,2014-12-15
225750,Jan,avg,≥6 months,Rhode Island,56.3,2014-2015,56.3,2015-01-15
225755,Feb,avg,≥6 months,Rhode Island,57.7,2014-2015,57.7,2015-02-15
225760,Mar,avg,≥6 months,Rhode Island,58.0,2014-2015,58.0,2015-03-15
225765,Apr,avg,≥6 months,Rhode Island,58.7,2014-2015,58.7,2015-04-15
225770,May,avg,≥6 months,Rhode Island,58.7,2014-2015,58.7,2015-05-15
226710,Jul,avg,≥6 months,South Carolina,0.4,2014-2015,0.4,2014-07-15
226715,Aug,avg,≥6 months,South Carolina,2.1,2014-2015,2.1,2014-08-15
226720,Sep,avg,≥6 months,South Carolina,8.1,2014-2015,8.1,2014-09-15
226725,Oct,avg,≥6 months,South Carolina,27.4,2014-2015,27.4,2014-10-15
226730,Nov,avg,≥6 months,South Carolina,37.0,2014-2015,37.0,2014-11-15
226735,Dec,avg,≥6 months,South Carolina,40.3,2014-2015,40.3,2014-12-15
226740,Jan,avg,≥6 months,South Carolina,43.4,2014-2015,43.4,2015-01-15
226745,Feb,avg,≥6 months,South Carolina,45.6,2014-2015,45.6,2015-02-15
226750,Mar,avg,≥6 months,South Carolina,46.6,2014-2015,46.6,2015-03-15
226755,Apr,avg,≥6 months,South Carolina,47.5,2014-2015,47.5,2015-04-15
226760,May,avg,≥6 months,South Carolina,48.3,2014-2015,48.3,2015-05-15
227705,Aug,avg,≥6 months,South Dakota,1.1,2014-2015,1.1,2014-08-15
227710,Sep,avg,≥6 months,South Dakota,6.1,2014-2015,6.1,2014-09-15
227715,Oct,avg,≥6 months,South Dakota,36.4,2014-2015,36.4,2014-10-15
227720,Nov,avg,≥6 months,South Dakota,52.6,2014-2015,52.6,2014-11-15
227725,Dec,avg,≥6 months,South Dakota,56.0,2014-2015,56.0,2014-12-15
227730,Jan,avg,≥6 months,South Dakota,58.2,2014-2015,58.2,2015-01-15
227735,Feb,avg,≥6 months,South Dakota,59.2,2014-2015,59.2,2015-02-15
227740,Mar,avg,≥6 months,South Dakota,59.5,2014-2015,59.5,2015-03-15
227745,Apr,avg,≥6 months,South Dakota,59.5,2014-2015,59.5,2015-04-15
227750,May,avg,≥6 months,South Dakota,59.6,2014-2015,59.6,2015-05-15
228690,Jul,avg,≥6 months,Tennessee,0.4,2014-2015,0.4,2014-07-15
228695,Aug,avg,≥6 months,Tennessee,2.5,2014-2015,2.5,2014-08-15
228700,Sep,avg,≥6 months,Tennessee,9.5,2014-2015,9.5,2014-09-15
228705,Oct,avg,≥6 months,Tennessee,29.7,2014-2015,29.7,2014-10-15
228710,Nov,avg,≥6 months,Tennessee,39.6,2014-2015,39.6,2014-11-15
228715,Dec,avg,≥6 months,Tennessee,43.7,2014-2015,43.7,2014-12-15
228720,Jan,avg,≥6 months,Tennessee,45.7,2014-2015,45.7,2015-01-15
228725,Feb,avg,≥6 months,Tennessee,47.4,2014-2015,47.4,2015-02-15
228730,Mar,avg,≥6 months,Tennessee,48.1,2014-2015,48.1,2015-03-15
228735,Apr,avg,≥6 months,Tennessee,48.3,2014-2015,48.3,2015-04-15
228740,May,avg,≥6 months,Tennessee,48.8,2014-2015,48.8,2015-05-15
229680,Jul,avg,≥6 months,Texas,0.8,2014-2015,0.8,2014-07-15
229685,Aug,avg,≥6 months,Texas,3.0,2014-2015,3.0,2014-08-15
229690,Sep,avg,≥6 months,Texas,11.6,2014-2015,11.6,2014-09-15
229695,Oct,avg,≥6 months,Texas,29.7,2014-2015,29.7,2014-10-15
229700,Nov,avg,≥6 months,Texas,39.8,2014-2015,39.8,2014-11-15
229705,Dec,avg,≥6 months,Texas,43.9,2014-2015,43.9,2014-12-15
229710,Jan,avg,≥6 months,Texas,46.7,2014-2015,46.7,2015-01-15
229715,Feb,avg,≥6 months,Texas,48.4,2014-2015,48.4,2015-02-15
229720,Mar,avg,≥6 months,Texas,49.1,2014-2015,49.1,2015-03-15
229725,Apr,avg,≥6 months,Texas,49.6,2014-2015,49.6,2015-04-15
229730,May,avg,≥6 months,Texas,50.1,2014-2015,50.1,2015-05-15
230675,Aug,avg,≥6 months,Utah,1.4,2014-2015,1.4,2014-08-15
230680,Sep,avg,≥6 months,Utah,7.6,2014-2015,7.6,2014-09-15
230685,Oct,avg,≥6 months,Utah,30.0,2014-2015,30.0,2014-10-15
230690,Nov,avg,≥6 months,Utah,38.7,2014-2015,38.7,2014-11-15
230695,Dec,avg,≥6 months,Utah,42.0,2014-2015,42.0,2014-12-15
230700,Jan,avg,≥6 months,Utah,43.9,2014-2015,43.9,2015-01-15
230705,Feb,avg,≥6 months,Utah,46.0,2014-2015,46.0,2015-02-15
230710,Mar,avg,≥6 months,Utah,46.3,2014-2015,46.3,2015-03-15
230715,Apr,avg,≥6 months,Utah,46.8,2014-2015,46.8,2015-04-15
230720,May,avg,≥6 months,Utah,46.9,2014-2015,46.9,2015-05-15
231665,Aug,avg,≥6 months,Vermont,1.5,2014-2015,1.5,2014-08-15
231670,Sep,avg,≥6 months,Vermont,7.4,2014-2015,7.4,2014-09-15
231675,Oct,avg,≥6 months,Vermont,30.0,2014-2015,30.0,2014-10-15
231680,Nov,avg,≥6 months,Vermont,43.7,2014-2015,43.7,2014-11-15
231685,Dec,avg,≥6 months,Vermont,47.0,2014-2015,47.0,2014-12-15
231690,Jan,avg,≥6 months,Vermont,48.5,2014-2015,48.5,2015-01-15
231695,Feb,avg,≥6 months,Vermont,49.2,2014-2015,49.2,2015-02-15
231700,Mar,avg,≥6 months,Vermont,49.6,2014-2015,49.6,2015-03-15
231705,Apr,avg,≥6 months,Vermont,49.9,2014-2015,49.9,2015-04-15
231710,May,avg,≥6 months,Vermont,49.9,2014-2015,49.9,2015-05-15
232650,Jul,avg,≥6 months,Virginia,0.4,2014-2015,0.4,2014-07-15
232655,Aug,avg,≥6 months,Virginia,2.0,2014-2015,2.0,2014-08-15
232660,Sep,avg,≥6 months,Virginia,9.4,2014-2015,9.4,2014-09-15
232665,Oct,avg,≥6 months,Virginia,30.9,2014-2015,30.9,2014-10-15
232670,Nov,avg,≥6 months,Virginia,42.5,2014-2015,42.5,2014-11-15
232675,Dec,avg,≥6 months,Virginia,46.3,2014-2015,46.3,2014-12-15
232680,Jan,avg,≥6 months,Virginia,49.0,2014-2015,49.0,2015-01-15
232685,Feb,avg,≥6 months,Virginia,50.5,2014-2015,50.5,2015-02-15
232690,Mar,avg,≥6 months,Virginia,51.5,2014-2015,51.5,2015-03-15
232695,Apr,avg,≥6 months,Virginia,51.8,2014-2015,51.8,2015-04-15
232700,May,avg,≥6 months,Virginia,51.8,2014-2015,51.8,2015-05-15
233640,Jul,avg,≥6 months,Washington,0.6,2014-2015,0.6,2014-07-15
233645,Aug,avg,≥6 months,Washington,1.8,2014-2015,1.8,2014-08-15
233650,Sep,avg,≥6 months,Washington,9.1,2014-2015,9.1,2014-09-15
233655,Oct,avg,≥6 months,Washington,28.3,2014-2015,28.3,2014-10-15
233660,Nov,avg,≥6 months,Washington,39.4,2014-2015,39.4,2014-11-15
233665,Dec,avg,≥6 months,Washington,43.3,2014-2015,43.3,2014-12-15
233670,Jan,avg,≥6 months,Washington,46.1,2014-2015,46.1,2015-01-15
233675,Feb,avg,≥6 months,Washington,47.9,2014-2015,47.9,2015-02-15
233680,Mar,avg,≥6 months,Washington,48.9,2014-2015,48.9,2015-03-15
233685,Apr,avg,≥6 months,Washington,49.1,2014-2015,49.1,2015-04-15
233690,May,avg,≥6 months,Washington,49.5,2014-2015,49.5,2015-05-15
